id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
151,,human-resource-count-activity-granularity-c-a,Human Resource count (activity granularity),1,1,Number of human resources that are involved in the execution of an activity.,"If the event log does not contain cost information, Human Resource count can be used as a proxy for the cost performance of an activity.",Minimizing the number of human resources involved is desirable.,minimize,\(\mathit{HR(a)\),\(|\mathit{hres(a)|\),\(\mathit{count(\mathit{hres(a))\),$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
152,,human-resource-count-case-granularity-c-c,Human Resource count (case granularity),1,2,Number of human resources that are involved in the execution of a case.,"If the event log does not contain cost information, Human Resource count can be used as a proxy for the cost performance of a case.",Minimizing the number of human resources involved is desirable.,minimize,\(\mathit{HR(c)\),\(|\mathit{hres(c)|\),\(\mathit{count(\mathit{hres(c))\),$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
153,,human-resource-count-group-of-cases-granularity-c-g,Human Resource count (group of cases granularity),1,3,Number of human resources that are involved in the execution of a group of cases.,"If the event log does not contain cost information, Human Resource count can be used as a proxy for the cost performance of a group of cases.",Minimizing the number of human resources involved is desirable.,minimize,\(\mathit{HR(g)\),\(|\cup_{c \in g} \mathit{hres(c)|\),\(\mathit{count(\mathit{hres(g))\),$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
154,,human-resource-count-activity-granularity-f-a,Human Resource count (activity granularity),2,1,Number of human resources that are involved in the execution of an activity in the event log.,Human Resource count can be used as a proxy to measure the flexibility of a process.,"Maximizing the number of human resources involved is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{HR(a)\),\(|\mathit{hres(a)|\),\(\mathit{count(\mathit{hres(a))\),$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
155,,human-resource-count-case-granularity-f-c,Human Resource count (case granularity),2,2,Number of human resources that are involved in the execution of a case.,Human Resource count can be used as a proxy to measure the flexibility of a process.,"Maximizing the number of human resources involved is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{HR(c)\),\(|\mathit{hres(c)|\),\(\mathit{count(\mathit{hres(c))\),$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
156,,human-resource-count-group-of-cases-granularity-f-g,Human Resource count (group of cases granularity),2,3,Number of human resources that are involved in the execution of a group of cases.,Human Resource count can be used as a proxy to measure the flexibility of a process.,"Maximizing the number of human resources involved is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{HR(g)\),\(|\cup_{c \in g} \mathit{hres(c)|\),\(\mathit{count(\mathit{hres(g))\),$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
157,,human-resource-count-activity-granularity-g-a,Human Resource count (activity granularity),3,1,Number of human resources that are involved in the execution of an activity in the event log.,Calculation of several other PPIs.,,,\(\mathit{HR(a)\),\(|\mathit{hres(a)|\),\(\mathit{count(\mathit{hres(a))\),$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
158,,human-resource-count-case-granularity-g-c,Human Resource count (case granularity),3,2,Number of human resources that are involved in the execution of a case.,Calculation of several other PPIs.,,,\(\mathit{HR(c)\),\(|\mathit{hres(c)|\),\(\mathit{count(\mathit{hres(c))\),$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
159,,human-resource-count-group-of-cases-granularity-g-g,Human Resource count (group of cases granularity),3,3,Number of human resources that are involved in the execution of a group of cases.,Calculation of several other PPIs.,,,\(\mathit{HR(g)\),\(|\cup_{c \in g} \mathit{hres(c)|\),\(\mathit{count(\mathit{hres(g))\),$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
160,,human-resource-count-activity-granularity-q-a,Human Resource count (activity granularity),4,1,Number of human resources that are involved in the execution of an activity in the event log.,Human Resource count can be used as a proxy to measure the quality of the process.,"Minimizing the number of human resources involved is desirable, as it reduces the possibility of errors due to, e.g., handovers of work.",minimize,\(\mathit{HR(a)\),\(|\mathit{hres(a)|\),\(\mathit{count(\mathit{hres(a))\),$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
161,,human-resource-count-case-granularity-q-c,Human Resource count (case granularity),4,2,Number of human resources that are involved in the execution of a case.,Human Resource count can be used as a proxy to measure the quality of the process.,"Minimizing the number of human resources involved is desirable, as it reduces the possibility of errors due to, e.g., handovers of work.",minimize,\(\mathit{HR(c)\),\(|\mathit{hres(c)|\),\(\mathit{count(\mathit{hres(c))\),$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
162,,human-resource-count-group-of-cases-granularity-q-g,Human Resource count (group of cases granularity),4,3,Number of human resources that are involved in the execution of cases in a group of cases.,Human Resource count can be used as a proxy to measure the quality of the process.,"Minimizing the number of human resources involved is desirable, as it reduces the possibility of errors due to, e.g., handovers of work.",minimize,\(\mathit{HR(g)\),\(|\cup_{c \in g} \mathit{hres(c)|\),\(\mathit{count(\mathit{hres(g))\),$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
163,,idle-time-case-granularity-t-c,Idle Time (case granularity),5,2,Sum of time periods in which no activity instance is executed during a case.,Event log that contains lifecycle information for activity instances in which the time the case is inactive is of interest.,Minimizing idle time is desirable.,minimize,\(\mathit{IT(c)\),"\(\sum _{i \in \mathit{inst(c)} \begin{cases}
\frac{\mathit{WT(i)}{|\mathit{concstr(i)|} & \mathit{if \  \mathit{prevstr(i) = \emptyset","\(\sum_{i \in \mathit{inst(c)} 
\begin{cases}
\frac{\mathit{WT(i)}{|\mathit{concstr(i)|} & \text{if } \mathit{prevstr(i) = \emptyset \\
0 & \text{if } \mathit{prevstr(i) \neq \emptyset
\end{cases}\)","$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{WT(i)$ returns the waiting time of activity instance $i$.
\newline $\mathit{concstr(i)$ returns the set of concurrent structures (parallel branches) related to instance $i$.
\newline $\mathit{prevstr(i)$ returns the preceding structure of activity instance $i$.\\"
164,,inventory-cost-activity-granularity-c-a,Inventory Cost (activity granularity),1,1,Inventory cost associated with all instantiations of an activity in the event log.,Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,"\(\mathit{IC\mathit{^{\times(a)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(a)} \mathit{IC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(a)} \mathit{IC(i)\),"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{IC(i)\) returns the inventory cost of activity instance \(i\). \\"
165,,inventory-cost-case-granularity-c-c,Inventory Cost (case granularity),1,2,Inventory cost associated with all activity instances of a case.,Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,"\(\mathit{IC\mathit{^{\times(c)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(c)} \mathit{IC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(c)} \mathit{IC(i)\),"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{IC(i)\) returns the inventory cost of activity instance \(i\). \\"
166,,inventory-cost-group-of-cases-granularity-c-g,Inventory Cost (group of cases granularity),1,3,Inventory cost associated with all activity instances of a group of cases.,Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,"\(\mathit{IC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{c \in g} \mathit{IC\mathit{^{\times(c)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sum$.",\(\sum _{c \in g} \mathit{IC(c)\),\(\mathit{IC(c)\) returns the inventory cost for case \(c\). \\
167,,inventory-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i,Inventory Cost considering single events of activity instances (activity instance granularity),1,4,"Inventory cost associated with an activity instance, measured as the latest recorded value among the events of the activity instance.",Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,\(\mathit{IC\mathit{^{sgl(i)\),"\(\begin{cases}
#^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq \bot",\(\begin{cases} #^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq undefined \\ #^{}_{\mathit{ic}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) = undefined \\ \end{cases}\),"\(#^{}_{\mathit{ic}\) returns the inventory cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
168,,inventory-cost-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-c-i,Inventory Cost considering the sum of all events of activity instances (activity instance granularity),1,4,"Inventory cost associated with an activity instance, measured as the sum of all values among the events of the activity instance.",Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,\(\mathit{IC\mathit{^{sum(i)\),"\(\begin{cases}
#^{}_{\mathit{ic}(\mathit{str(i)) + & \\ #^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq \bot \land #^{}_{\mathit{ic}(\mathit{str(i)) \neq \bot",\(\begin{cases} #^{}_{\mathit{ic}(\mathit{str(i)) + & \\ #^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{ic}(\mathit{str(i)) = undefined \\ \end{cases}\),"\(#^{}_{\mathit{ic}\) returns the inventory cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
169,,labor-cost-activity-granularity-c-a,Labor Cost (activity granularity),1,1,Labor cost associated with all instantiations of the activity in the event log.,Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,"\(\mathit{LC\mathit{^{\times(a)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(a)} \mathit{LC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(a)} \mathit{LC(i)\),"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{LC(i)\) returns the labor cost of activity instance \(i\). \\"
170,,labor-cost-case-granularity-c-c,Labor Cost (case granularity),1,2,Labor cost associated with all activity instances of a case.,Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,"\(\mathit{LC\mathit{^{\times(c)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(c)} \mathit{LC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$.",\(\sum _{i \in \mathit{inst(c)} \mathit{LC(i)\),"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{LC(i)\) returns the labor cost of activity instance \(i\). \\"
171,,labor-cost-group-of-cases-granularity-c-g,Labor Cost (group of cases granularity),1,3,Labor cost associated with all activity instances of a group of cases.,Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,"\(\mathit{LC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{c \in g} \mathit{LC\mathit{^{\times(c)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$.",\(\sum _{c \in g} \mathit{LC(c)\),\(\mathit{LC(c)\) returns the labor cost for case \(c\). \\
172,,labor-cost-and-total-cost-ratio-activity-granularity-c-a,Labor Cost and Total Cost Ratio (activity granularity),1,1,"Ratio between the labor cost associated with all instantiations of an activity in the event log, and the total cost associated with all instantiations of an activity in the event log.",Event log in which both labor and total cost information are recorded.,Minimizing the cost associated with human resources is desirable.,minimize,"\(\mathit{LCTCR\mathit{^{\times(a)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(a)}{\mathit{TC\mathit{^{\times(a)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$ and $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$ and $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{LC(a)}{\mathit{TC(a)}\),"\(\mathit{LC(a)\) returns the total labor cost of activity \(a\).
\newline \(\mathit{TC(a)\) returns the total cost of activity \(a\). \\"
173,,labor-cost-and-total-cost-ratio-case-granularity-c-c,Labor Cost and Total Cost Ratio (case granularity),1,2,"Ratio between the labor cost associated with all activity instances of a case, and the total cost associated with all activity instances of a case.",Event log in which both labor and total cost information are recorded.,Minimizing the cost associated with human resources is desirable.,minimize,"\(\mathit{LCTCR\mathit{^{\times(c)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(c)}{\mathit{TC\mathit{^{\times(c)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$ and $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$ and $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{LC(c)}{\mathit{TC(c)}\),"\(\mathit{LC(c)\) returns the total labor cost of case \(c\).
\newline \(\mathit{TC(c)\) returns the total cost of case \(c\). \\"
174,,labor-cost-and-total-cost-ratio-group-of-cases-granularity-c-g,Labor Cost and Total Cost Ratio (group of cases granularity),1,3,"Ratio between the labor cost associated with all activity instances of a group of cases, and the total cost associated with all activity instances of a group of cases.",Event log in which both labor and total cost information are recorded.,Minimizing the cost associated with human resources is desirable.,minimize,"\(\mathit{LCTCR\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(g)}{\mathit{TC\mathit{^{\times(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$ and $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$ and $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{LC(g)}{\mathit{TC(g)}\),"\(\mathit{LC(g)\) returns the total labor cost of case group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
175,,labor-cost-and-total-cost-ratio-activity-instance-granularity-c-i,Labor Cost and Total Cost Ratio (activity instance granularity),1,4,Ratio between the labor cost associated with an activity instance and the total cost associated with an activity instance.,Event log in which both labor and total cost information are recorded.,Minimizing the cost associated with human resources is desirable.,minimize,"\(\mathit{LCTCR\mathit{^{\times(i)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(i)}{\mathit{TC\mathit{^{\times(i)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$ and $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$ and $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{LC(i)}{\mathit{TC(i)}\),"\(\mathit{LC(i)\) returns the labor cost of activity instance \(i\).
\newline \(\mathit{TC(i)\) returns the total cost of activity instance \(i\). \\"
176,,labor-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i,Labor Cost considering single events of activity instances (activity instance granularity),1,4,"Labor cost associated with an activity instance, measured as the latest recorded value among the events of the activity instance.",Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,\(\mathit{LC\mathit{^{sgl(i)\),"\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq \bot","\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{lc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) = undefined \\
\end{cases}\)","\(#^{}_{\mathit{lc}\) returns the labor cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
177,,labor-cost-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-c-i,Labor Cost considering the sum of all events of activity instances (activity instance granularity),1,4,"Labor cost associated with an activity instance, measured as the sum of all values among the events of the activity instance.",Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,\(\mathit{LC\mathit{^{sum(i)\),"\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{str(i)) + & \\ #^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq \bot \land #^{}_{\mathit{lc}(\mathit{str(i)) \neq \bot","\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{str(i)) + & \\ #^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{lc}(\mathit{str(i)) = undefined \\
\end{cases}\)","\(#^{}_{\mathit{lc}\) returns the labor cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
178,,lead-time-activity-granularity-t-a,Lead Time (activity granularity),5,1,Sum of the total elapsed time for all instantiations of an activity in the event log. Also known as cycle time.,Event log is associated with a process in which the total elapsed time of activity instances is of relevance.,Minimizing lead time is desirable.,minimize,\(\mathit{LT(a)\),\(\sum _{i \in \mathit{inst(a)} \mathit{LT(i)\),\(\sum_{i \in \mathit{inst(a)} \mathit{LT(i)\),"$\mathit{inst(a)$ returns the set of activity instances that belong to activity $a$.
\newline $\mathit{LT(i)$ returns the lead time of activity instance $i$.\\"
179,,lead-time-case-granularity-t-c,Lead Time (case granularity),5,2,Total elapsed time between the earliest and latest timestamps in a case. Also known as cycle time.,Event log is associated with a process in which the total elapsed time of a case is of relevance.,Minimizing lead time is desirable.,minimize,\(\mathit{LT(c)\),\(\mathit{endt(c) - \mathit{startt(c)\),\(\mathit{endt(c) - \mathit{startt(c)\),"$\mathit{endt(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt(c)$ returns the start timestamp of case $c$.\\"
180,,lead-time-group-of-cases-granularity-t-g,Lead Time (group of cases granularity),5,3,Total elapsed time between the earliest and latest events in a group of cases. Also known as cycle time.,Event log is associated with a process in which the total elapsed time of a group of cases is of relevance.,Minimizing lead time is desirable.,minimize,\(\mathit{LT(g)\),\(^{\mathit{max}_{c \in g} \mathit{endt(c) - ^{\mathit{min}_{c \in g} \mathit{startt(c)\),\(^{\mathit{max}_{c \in g} \mathit{endt(c) - ^{\mathit{min}_{c \in g} \mathit{startt(c)\),"$\mathit{endt(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt(c)$ returns the start timestamp of case $c$.
\newline  $^{\mathit{max}_{c \in g}$ and $^{\mathit{min}_{c \in g}$ indicate that the maximum end time and minimum start time are taken across all cases in the group $g$.\\"
181,,lead-time-activity-instance-granularity-t-i,Lead Time (activity instance granularity),5,4,Sum of the waiting time and the service time of an activity instance. Also known as cycle time.,Event log is associated with a process in which the total elapsed time of activity instances is of relevance.,Minimizing lead time is desirable.,minimize,\(\mathit{LT(i)\),\(\mathit{ST(i) + \mathit{WT(i)\),\(\mathit{ST(i) + \mathit{WT(i)\),"$\mathit{ST(i)$ returns the service time of activity instance $i$, representing the time between its start and completion.
\newline $\mathit{WT(i)$ returns the waiting time of activity instance $i$, representing the idle period before the instance starts execution.\\"
182,,lead-time-and-case-count-ratio-group-of-cases-granularity-t-g,Lead Time and Case count Ratio (group of cases granularity),5,3,Ratio between the lead time of a group of cases and the number of cases belonging to a group of cases.,Event log is associated with a process for which the number of cases executed within a specific period is relevant.,Maximizing the number of cases performed during a specific period is desirable.,minimize,\(\mathit{LTCR(g)\),\(\frac{\mathit{LT(g)}{\mathit{C(g)}\),\(\frac{\mathit{LT(g)}{\mathit{C(g)}\),"$\mathit{LT(g)$ returns the total lead time of group $g$.
\newline $\mathit{C(g)$ returns the total number of cases in group $g$.\\"
183,,lead-time-deviation-from-expectation-case-granularity-t-c,Lead Time Deviation from Expectation (case granularity),5,2,Absolute value of the difference between the time that a case is expected to take and its lead time.,Event log is associated with a process in which the lead time of a case should be as close as possible to a specific value.,A lead time that is closer to the expected value is desirable.,minimize,"\(\mathit{LTDE(c, \mathit{val)\)",\(|\mathit{val - \mathit{LT(c)|\),\(|val - \mathit{LT(c)|\),"\ $val$ represents the expected time value.
\newline $\mathit{LT(c)$ returns the lead time of case $c$.\\"
184,,lead-time-deviation-from-time-limit-case-granularity-t-c,Lead Time Deviation from time Limit (case granularity),5,2,Difference between the time that a case is expected to take and its lead time.,Event log is associated with a process in which the lead time of a case should not exceed a specific value.,Exceeding the lead time limit value is undesired.,maximize,"\(\mathit{LTDL(c, \mathit{val)\)",\(\mathit{val - \mathit{LT(c)\),\(val - \mathit{LT(c)\),"$\mathit{LT(c)$ returns the lead time of case $c$.
\newline $val$ represents the predefined time Limit for the case.
\newline The expression $|val - \mathit{LT(c)|$ measures the absolute deviation of the case lead time from its deadline.\\"
185,,lead-time-from-activity-a-case-granularity-t-c,Lead Time from activity A (case granularity),5,2,Total elapsed time between the earliest instantiation of a specific activity and the latest event of a case.,Event log is associated with a process in which the total elapsed time of a specific subprocess is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{LTfA(c, \mathit{a)\)","\(\begin{cases}
\mathit{lt(x, y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{endin(c) \\ \bot & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}\)","\(\begin{cases}
\mathit{lt(any (\mathit{fi\mathit{^{s(c, \mathit{a), any (\mathit{endin(c))) & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
undefined & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}\)","$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{endin(c)$ returns the final activity instance of case $c$.
\newline $\mathit{lt(x, y)$ returns the lead time from activity instance $x$ to $y$.\\"
