Indicator	Dimension	Granularity	Params	Formalization_fp	Description_fp
Variable Cost (case granularity)	C	C	\(\mathit{VC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{VC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{VC(i)\) returns the variable cost of activity instance \(i\). \\"
Variable Cost (group of cases granularity)	C	G	\(\mathit{VC(g)\)	\(\sum _{c \in g} \mathit{VC(c)\)	\(\mathit{VC(c)\) returns the variable cost for case \(c\). \\
Expected Variable Cost	C	G	\(\mathit{e\mathit{VC(g)\)	\(\frac{\mathit{VC(g)}{\mathit{C(g)}\)	"\(\mathit{VC(g)\) returns the total variable cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Warehousing Cost (case granularity)	C	C	\(\mathit{WareC(c)\)	\(#^{}_{\mathit{warec}(c)\)	\(#^{}_{\mathit{warec}\) returns the warehousing cost associated with case \(c\). \\
Warehousing Cost (group of cases granularity)	C	G	\(\mathit{WareC(g)\)	\(\sum _{c \in g} \mathit{WareC(c)\)	\(\mathit{WareC(c)\) returns the warehousing cost for case \(c\). \\
Expected Warehousing Cost	C	G	\(\mathit{e\mathit{WareC(g)\)	\(\frac{\mathit{WareC(g)}{\mathit{C(g)}\)	"\(\mathit{WareC(g)\) returns the total warehousing cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
activity Instance count by Human Resource (activity granularity)	Q	A	\(\mathit{IbyHR(a, \mathit{hr)\)	"\(\displaystyle \sum_{i \in \mathit{inst(a)}
\begin{cases}
1 & \text{if } \mathit{hres(i) = \mathit{hr \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{hres(i)\) returns the human resource associated with activity instance \(i\). \\"
activity Instance count by Human Resource (case granularity)	Q	C	\(\mathit{IbyHR(c, \mathit{hr)\)	"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{hres(i) = \mathit{hr \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{hres(i)\) returns the human resource associated with activity instance \(i\). \\"
activity Instance count by Human Resource (group of cases granularity)	Q	G	\(\mathit{IbyHR(g, \mathit{hr)\)	\(\sum _{c \in g} \mathit{IbyHR(c, \mathit{hr)\)	\(\mathit{IbyHR(c, \mathit{hr)\) returns the activity instance count by human resource \(\mathit{hr\) in case \(c\). \\
Expected activity Instance count by Human Resource	Q	G	\(\mathit{e\mathit{IbyHR(g, \mathit{hr)\)	\(\frac{\mathit{IbyHR(g, \mathit{hr)}{\mathit{C(g)}\)	"\(\mathit{IbyHR(g, \mathit{hr)\) returns the total activity instance count by human resource \(\mathit{hr\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
activity Instance count by Role (case granularity)	Q	C	\(\mathit{IbyRole(c, \mathit{rl)\)	"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{role(i) = \mathit{rl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{role(i)\) returns the role associated with activity instance \(i\). \\"
activity Instance count by Role (group of cases granularity)	Q	G	\(\mathit{IbyRole(g, \mathit{rl)\)	\(\sum _{c \in g} \mathit{IbyRole(c, \mathit{rl)\)	\(\mathit{IbyRole(c, \mathit{rl)\) returns the activity instance count by role \(\mathit{rl\) in case \(c\). \\
Expected activity Instance count by Role	Q	G	\(\mathit{e\mathit{IbyRole(g, \mathit{rl)\)	\(\frac{\mathit{IbyRole(g, \mathit{rl)}{\mathit{C(g)}\)	"\(\mathit{IbyRole(g, \mathit{rl)\) returns the total activity instance count by role \(\mathit{rl\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Automated Activity count (case granularity)	Q	C	\(\mathit{Auta(c)\)	"\(\sum_{a \in \mathit{act(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.\\
Automated Activity count (group of cases granularity)	Q	G	\(\mathit{Auta(g)\)	"\(\sum_{a \in \mathit{act(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.\\
Expected Automated Activity count	Q	G	\(\mathit{e\mathit{Auta(g)\)	\(\frac{\sum _{c \in g} \mathit{Auta(c)}{\mathit{C(g)}\)	"\(\mathit{Auta(c)\) returns the automated activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Automated activity Instance count (case granularity)	Q	C	\(\mathit{Auti(c)\)	"\(\sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated to activity instance $i$.\\"
Automated activity Instance count (group of cases granularity)	Q	G	\(\mathit{Auti(g)\)	\(\sum _{c \in g} \mathit{Auti(c)\)	\(\mathit{Auti(c)\) returns the automated activity instance count for case \(c\). \\
Expected Automated activity Instance count	Q	G	\(\mathit{e\mathit{Auti(g)\)	\(\frac{\mathit{Auti(g)}{\mathit{C(g)}\)	"\(\mathit{Auti(g)\) returns the total automated activity instance count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case and Client count Ratio (group of cases granularity)	Q	G	\(\mathit{CCliR(g)\)	\(\frac{\mathit{C(g)}{\mathit{Cli(g)}\)	"\(\mathit{C(g)\) returns the number of cases in group \(g\).
\newline \(\mathit{Cli(g)\) returns the number of clients associated with group \(g\). \\"
Case Count where Activity after Time Frame (group of cases granularity)	Q	G	\(\mathit{CApastTFC(g, \mathit{a, \mathit{et)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \geq \mathit{et] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
Case Count where Activity before Time Frame (group of cases granularity)	Q	G	\(\mathit{CAdueTFC(g, \mathit{a, \mathit{st)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \leq \mathit{st] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
Case Count where Activity during Time Frame (group of cases granularity)	Q	G	\(\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{st \leq \mathit{stime(i) \land \mathit{stime(i) \leq \mathit{et] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
Case Count where end activity is A (group of cases granularity)	Q	G	\(\mathit{CendAC(g, \mathit{a)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{endin(c)[\mathit{act(i) = \mathit{a] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{endin(c)\) returns the set of last activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\). \\"
Case Count where start activity is A (group of cases granularity)	Q	G	\(\mathit{CstartAC(g, \mathit{a)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{strin(c)[\mathit{act(i) = \mathit{a] \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{strin(c)\) returns the set of first activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\). \\"
Case Count with Rework (group of cases granularity)	Q	G	\(\mathit{CRewC(g)\)	"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{RewC(c) > 0 \\
0 & \text{otherwise}
\end{cases}
\)"	\(\mathit{RewC(c)\) returns the rework count for case \(c\). \\
Case Percentage where Activity after Time Frame (group of cases granularity)	Q	G	\(\mathit{CApastTFP(g, \mathit{a, \mathit{et)\)	\(\frac{\mathit{CApastTFC(g, \mathit{a, \mathit{et)}{\mathit{C(g)}\)	"\(\mathit{CApastTFC(g, \mathit{a, \mathit{et)\) returns the case count where activity \(\mathit{a\) starts after time frame \(\mathit{et\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage where Activity before Time Frame (group of cases granularity)	Q	G	\(\mathit{CAdueTFP(g, \mathit{a, \mathit{st)\)	\(\frac{\mathit{CAdueTFC(g, \mathit{a, \mathit{st)}{\mathit{C(g)}\)	"\(\mathit{CAdueTFC(g, \mathit{a, \mathit{st)\) returns the case count where activity \(\mathit{a\) starts before time frame \(\mathit{st\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage where Activity during Time Frame (group of cases granularity)	Q	G	\(\mathit{CAinTFP(g, \mathit{a, \mathit{st, \mathit{et)\)	\(\frac{\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)}{\mathit{C(g)}\)	"\(\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)\) returns the case count where activity \(\mathit{a\) starts during the time frame in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage where End Activity is A (group of cases granularity)	Q	G	\(\mathit{CendAP(g, \mathit{a)\)	\(\frac{\mathit{CendAC(g, \mathit{a)}{\mathit{C(g)}\)	"\(\mathit{CendAC(g, \mathit{a)\) returns the case count where the end activity is \(\mathit{a\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage where Start Activity is A (group of cases granularity)	Q	G	\(\mathit{CstartAP(g, \mathit{a)\)	\(\frac{\mathit{CstartAC(g, \mathit{a)}{\mathit{C(g)}\)	"\(\mathit{CstartAC(g, \mathit{a)\) returns the case count where the start activity is \(\mathit{a\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage with Missed Deadline (group of cases granularity)	Q	G	\(\mathit{CMDP(g, \mathit{val)\)	"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt(c) > \mathit{val \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C(g)}\)"	"\(\mathit{endt(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Case Percentage with Rework (group of cases granularity)	Q	G	\(\mathit{CRewP(g)\)	\(\frac{\mathit{CRewC(g)}{\mathit{C(g)}\)	"\(\mathit{CRewC(g)\) returns the case count with rework in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Client count and Total Cost Ratio (activity granularity)	Q	A	\(\mathit{CliTCR(a)\)	\(\frac{\mathit{Cli(a)}{\mathit{TC(a)}\)	"\(\mathit{Cli(a)\) returns the number of distinct clients involved in activity \(a\).
\newline \(\mathit{TC(a)\) returns the total cost of activity \(a\). \\"
Client count and Total Cost Ratio (group of cases granularity)	Q	G	\(\mathit{CliTCR(g)\)	\(\frac{\mathit{Cli(g)}{\mathit{TC(g)}\)	"\(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
Expected Client count and Total Cost Ratio	Q	G	\(\mathit{e\mathit{CliTCR(g)\)	\(\frac{\mathit{Cli(g)}{\mathit{TC(g)}\)	"\(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
Desired Activity count (case granularity)	Q	C	\(\mathit{DAC(c)\)	\(\mathit{count(\mathit{Desl \cap \mathit{act(c))\)	"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Desired Activity count (group of cases granularity)	Q	G	\(\mathit{DAC(g)\)	\(\mathit{count(\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c)))\)	"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Expected Desired Activity count	Q	G	\(\mathit{e\mathit{DAC(g)\)	\(\frac{\sum _{c \in g} \mathit{DAC(c)}{\mathit{C(g)}\)	"\(\mathit{DAC(c)\) returns the desired activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Human Resource count (activity granularity)	Q	A	\(\mathit{HR(a)\)	\(\mathit{count(\mathit{hres(a))\)	$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
Human Resource count (case granularity)	Q	C	\(\mathit{HR(c)\)	\(\mathit{count(\mathit{hres(c))\)	$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
Human Resource count (group of cases granularity)	Q	G	\(\mathit{HR(g)\)	\(\mathit{count(\mathit{hres(g))\)	$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
Expected Human Resource count	Q	G	$e$\(\mathit{HR(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Non-Automated Activity count (case granularity)	Q	C	\(\mathit{NAutA(c)\)	"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
Non-Automated Activity count (group of cases granularity)	Q	G	\(\mathit{NAutA(g)\)	"\(\displaystyle \sum_{a \in (\cup _{c \in g} \mathit{act(c))}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
Expected Non-Automated Activity count (group of cases granularity)	Q	G	\(\mathit{NAutA(g)\)	\(\frac{\sum _{c \in g} \mathit{NAutA(c)}{\mathit{C(g)}\)	"\(\mathit{NAutA(c)\) returns the non-automated activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Non-Automated activity Instance count (case granularity)	Q	C	\(\mathit{NAutI(c)\)	"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \notin \mathit{Autl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl\) returns the set of automated activities. \\"
Non-Automated activity Instance count (group of cases granularity)	Q	G	\(\mathit{NAutI(g)\)	\(\sum _{c \in g} \mathit{NAutI(c)\)	\(\mathit{NAutI(c)\) returns the non-automated activity instance count for case \(c\). \\
Expected Non-Automated activity Instance count	Q	G	\(\mathit{e\mathit{NAutI(g)\)	\(\frac{\mathit{NAutI(g)}{\mathit{C(g)}\)	"\(\mathit{NAutI(g)\) returns the total non-automated activity instance count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
outcome Unit count considering single events of activity instances (activity instance granularity)	Q	I	\(\mathit{U\mathit{^{sgl(i)\)	"\(\begin{cases}
#^{}_{\mathit{unt}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{unt}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{unt}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{unt}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{unt}\) returns the outcome unit count associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
outcome Unit count considering the sum of all events of activity instances (activity instance granularity)	Q	I	\(\mathit{U\mathit{^{sum(i)\)	"\(\begin{cases}
#^{}_{\mathit{unt}(\mathit{str(i)) + #^{}_{\mathit{unt}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{unt}(\mathit{cpl(i)) \neq undefined \land \\ & #^{}_{\mathit{unt}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{unt}(\ \mathit{cpl(i)) = undefined \lor #^{}_{\mathit{unt}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{unt}\) returns the outcome unit count associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
outcome Unit count (activity granularity)	Q	A	\(\mathit{U(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{U(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
outcome Unit count (case granularity)	Q	C	\(\mathit{U(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{U(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
outcome Unit count (group of cases granularity)	Q	G	\(\mathit{U(g)\)	\(\sum _{c \in g} \mathit{U(c)\)	\(\mathit{U(c)\) returns the outcome unit count of case \(c\). \\
Expected outcome Unit count	Q	G	\(\mathit{e\mathit{U(g)\)	\(\frac{\mathit{U(g)}{\mathit{C(g)}\)	"\(\mathit{U(g)\) returns the total outcome unit count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Overall Quality (case granularity)	Q	C	\(\mathit{OQ(c)\)	\(#^{}_{\mathit{qual}(c)\)	\(#^{}_{\mathit{qual}\) returns the overall quality associated with case \(c\). \\
Expected Overall Quality	Q	G	\(\mathit{e\mathit{OQ(g)\)	\(\frac{\sum _{c \in g} \mathit{OQ(c)}{\mathit{C(g)}\)	"\(\mathit{OQ(c)\) returns the overall quality associated with case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Repeatability (case granularity)	Q	C	\(\mathit{Rep(c)\)	\(1 - \frac{\mathit{A(c)}{\mathit{I(c)}\)	"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
Repeatability (group of cases granularity)	Q	G	\(\mathit{Rep(g)\)	\(1 - \frac{\mathit{A(g)}{\mathit{I(g)}\)	"\(\mathit{A(g)\) returns the number of unique activities in group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Expected Repeatability	Q	G	\(\mathit{e\mathit{Rep(g)\)	\(1 - \frac{\sum _{c \in g} \mathit{A(c)}{\mathit{I(g)}\)	"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Rework Count (activity granularity)	Q	A	\(\mathit{RewC(a)\)	\(\sum _{c \in C} \mathit{max(0, \mathit{count(c, a) - 1)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count (case granularity)	Q	C	\(\mathit{RewC(c)\)	\(\sum _{a \in A} \mathit{max(0, \mathit{count(c, a) - 1)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count (group of cases granularity)	Q	G	\(\mathit{RewC(g)\)	\(\sum _{c \in g} \mathit{RewC(c)\)	\(\mathit{RewC(c)\) returns the rework count for case \(c\). \\
Expected Rework Count	Q	G	\(\mathit{e\mathit{RewC(g)\)	\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\)	"\(\mathit{RewC(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Count by Value (activity granularity)	Q	A	\(\mathit{RewCV(a, \mathit{val)\)	\(\sum _{c \in C} \mathit{max(0, \mathit{count(c, a) - \mathit{val)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count by Value (case granularity)	Q	C	\(\mathit{RewCV(c, \mathit{val)\)	\(\sum _{a \in A} \mathit{max(0, \mathit{count(c, a) - \mathit{val)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count by Value (group of cases granularity)	Q	G	\(\mathit{RewCV(g, \mathit{val)\)	\(\sum _{c \in g} \mathit{RewCV(c, \mathit{val)\)	\(\mathit{RewCV(c, \mathit{val)\) returns the rework count by value \(\mathit{val\) for case \(c\). \\
Expected Rework Count by Value	Q	G	\(\mathit{e\mathit{RewCV(g, \mathit{val)\)	\(\frac{\mathit{RewCV(g, \mathit{val)}{\mathit{C(g)}\)	"\(\mathit{RewCV(g, \mathit{val)\) returns the total rework count by value \(\mathit{val\) for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework of activities Subset (case granularity)	Q	C	\(\mathit{RewSub(c, \mathit{sub)\)	\(\sum _{a \in \mathit{sub} \mathit{max(0, \mathit{count(c, a) - 1)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework of activities Subset (group of cases granularity)	Q	G	\(\mathit{RewSub(g, \mathit{sub)\)	\(\sum _{c \in g} \mathit{RewSub(c, \mathit{sub)\)	\(\mathit{RewSub(c, \mathit{sub)\) returns the rework count for subset \(\mathit{sub\) in case \(c\). \\
Expected Rework of activities Subset	Q	G	\(\mathit{e\mathit{RewSub(g, \mathit{sub)\)	\(\frac{\mathit{RewSub(g, \mathit{sub)}{\mathit{C(g)}\)	"\(\mathit{RewSub(g, \mathit{sub)\) returns the total rework count for subset \(\mathit{sub\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Percentage (activity granularity)	Q	A	\(\mathit{RewP(a)\)	\(\frac{\mathit{RewC(a)}{\mathit{I(a)}\)	"\(\mathit{RewC(a)\) returns the rework count for activity \(a\).
\newline \(\mathit{I(a)\) returns the total number of instances of activity \(a\). \\"
Rework Percentage (case granularity)	Q	C	\(\mathit{RewP(c)\)	\(\frac{\mathit{RewC(c)}{\mathit{I(c)}\)	"\(\mathit{RewC(c)\) returns the rework count for case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
Rework Percentage (group of cases granularity)	Q	G	\(\mathit{RewP(g)\)	\(\frac{\mathit{RewC(g)}{\mathit{I(g)}\)	"\(\mathit{RewC(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Expected Rework Percentage	Q	G	\(\mathit{e\mathit{RewP(g)\)	\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\)	"\(\mathit{RewP(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Percentage by Value (activity granularity)	Q	A	\(\mathit{RewPV(a, \mathit{val)\)	\(\frac{\mathit{RewCV(a, \mathit{val)}{\mathit{I(a)}\)	"\(\mathit{RewCV(a, \mathit{val)\) returns the rework count by value \(\mathit{val\) for activity \(a\).
\newline \(\mathit{I(a)\) returns the total number of instances of activity \(a\). \\"
Rework Percentage by Value (case granularity)	Q	C	\(\mathit{RewPV(c, \mathit{val)\)	\(\frac{\mathit{RewCV(c, \mathit{val)}{\mathit{I(c)}\)	"\(\mathit{RewCV(c, \mathit{val)\) returns the rework count by value \(\mathit{val\) for case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
Rework Percentage by Value (group of cases granularity)	Q	G	\(\mathit{RewPV(g, \mathit{val)\)	\(\frac{\mathit{RewCV(g, \mathit{val)}{\mathit{I(g)}\)	"\(\mathit{RewCV(g, \mathit{val)\) returns the rework count by value \(\mathit{val\) for group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Expected Rework Percentage by Value	Q	G	\(\mathit{e\mathit{RewPV(g)\)	\(\frac{\sum _{c \in g} \mathit{RewPV(c, \mathit{val)}{\mathit{C(g)}\)	"\(\mathit{RewPV(c, \mathit{val)\) returns the rework percentage by value \(\mathit{val\) for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Time (activity granularity)	Q	A	\(\mathit{RT(a)\)	\(\mathit{LT(a) - \sum _{c \in C} \mathit{filt(c, a)\)	"\(\mathit{LT(a)\) returns the total lead time of activity \(a\).
\newline \(\mathit{filt(c, a)\) returns the lead time of the first instance of activity \(a\) in case \(c\). \\"
Rework Time (case granularity)	Q	C	\(\mathit{RT(c)\)	\(\mathit{LT(c) - \sum _{a \in A} \mathit{filt(c, a)\)	"\(\mathit{LT(c)\) returns the total lead time of case \(c\).
\newline \(\mathit{filt(c, a)\) returns the lead time of the first instance of activity \(a\) in case \(c\). \\"
Rework Time (group of cases granularity)	Q	G	\(\mathit{RT(g)\)	\(\sum _{c \in g} \mathit{RT(c)\)	\(\mathit{RT(c)\) returns the rework time for case \(c\). \\
Expected Rework Time	Q	G	\(\mathit{e\mathit{RT(g)\)	\(\frac{\mathit{RT(g)}{\mathit{C(g)}\)	"\(\mathit{RT(g)\) returns the total rework time for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Successful outcome Unit Count (activity instance granularity)	Q	I	\(\mathit{SUC(i)\)	"\(\begin{cases}
\mathit{U(i) - #^{}_{\mathit{uns}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{uns}(\mathit{cpl(i)) \neq undefined \\
\mathit{U(i) & \mathit{if \  #^{}_{\mathit{uns}(\mathit{cpl(i)) = undefined \\
\end{cases}\)"	"\(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\).
\newline \(#^{}_{\mathit{uns}\) returns the unsuccessful outcome unit count associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Successful outcome Unit Count (activity granularity)	Q	A	\(\mathit{SUC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{SUC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{SUC(i)\) returns the successful outcome unit count of activity instance \(i\). \\"
Successful outcome Unit Count (case granularity)	Q	C	\(\mathit{SUC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{SUC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{SUC(i)\) returns the successful outcome unit count of activity instance \(i\). \\"
